./exp/nnet2_online/decode_dev/wer_10_0.0:%WER 26.32 [ 75 / 285, 27 ins, 4 del, 44 sub ]
./exp/nnet2_online/decode_dev/wer_10_0.5:%WER 23.86 [ 68 / 285, 22 ins, 4 del, 42 sub ]
./exp/nnet2_online/decode_dev/wer_10_1.0:%WER 24.21 [ 69 / 285, 19 ins, 10 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_11_0.0:%WER 24.56 [ 70 / 285, 23 ins, 3 del, 44 sub ]
./exp/nnet2_online/decode_dev/wer_11_0.5:%WER 24.21 [ 69 / 285, 19 ins, 10 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_11_1.0:%WER 23.86 [ 68 / 285, 17 ins, 13 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_12_0.0:%WER 23.86 [ 68 / 285, 21 ins, 5 del, 42 sub ]
./exp/nnet2_online/decode_dev/wer_12_0.5:%WER 23.16 [ 66 / 285, 17 ins, 9 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_12_1.0:%WER 24.91 [ 71 / 285, 16 ins, 15 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_13_0.0:%WER 23.51 [ 67 / 285, 18 ins, 9 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_13_0.5:%WER 23.86 [ 68 / 285, 17 ins, 11 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_13_1.0:%WER 23.86 [ 68 / 285, 12 ins, 16 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_14_0.0:%WER 22.46 [ 64 / 285, 17 ins, 9 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_14_0.5:%WER 23.86 [ 68 / 285, 14 ins, 14 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_14_1.0:%WER 23.16 [ 66 / 285, 12 ins, 16 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_15_0.0:%WER 22.11 [ 63 / 285, 16 ins, 9 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_15_0.5:%WER 23.86 [ 68 / 285, 14 ins, 14 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_15_1.0:%WER 23.16 [ 66 / 285, 12 ins, 16 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_16_0.0:%WER 22.81 [ 65 / 285, 16 ins, 12 del, 37 sub ]
./exp/nnet2_online/decode_dev/wer_16_0.5:%WER 23.51 [ 67 / 285, 12 ins, 14 del, 41 sub ]
./exp/nnet2_online/decode_dev/wer_16_1.0:%WER 23.51 [ 67 / 285, 12 ins, 16 del, 39 sub ]
./exp/nnet2_online/decode_dev/wer_17_0.0:%WER 23.86 [ 68 / 285, 15 ins, 13 del, 40 sub ]
./exp/nnet2_online/decode_dev/wer_17_0.5:%WER 23.51 [ 67 / 285, 12 ins, 14 del, 41 sub ]
./exp/nnet2_online/decode_dev/wer_17_1.0:%WER 23.51 [ 67 / 285, 12 ins, 16 del, 39 sub ]
./exp/nnet2_online/decode_dev/wer_18_0.0:%WER 24.21 [ 69 / 285, 14 ins, 13 del, 42 sub ]
./exp/nnet2_online/decode_dev/wer_18_0.5:%WER 23.51 [ 67 / 285, 12 ins, 14 del, 41 sub ]
./exp/nnet2_online/decode_dev/wer_18_1.0:%WER 23.16 [ 66 / 285, 11 ins, 17 del, 38 sub ]
./exp/nnet2_online/decode_dev/wer_19_0.0:%WER 23.16 [ 66 / 285, 12 ins, 12 del, 42 sub ]
./exp/nnet2_online/decode_dev/wer_19_0.5:%WER 23.51 [ 67 / 285, 12 ins, 14 del, 41 sub ]
./exp/nnet2_online/decode_dev/wer_19_1.0:%WER 23.16 [ 66 / 285, 11 ins, 18 del, 37 sub ]
./exp/nnet2_online/decode_dev/wer_20_0.0:%WER 23.16 [ 66 / 285, 12 ins, 12 del, 42 sub ]
./exp/nnet2_online/decode_dev/wer_20_0.5:%WER 23.16 [ 66 / 285, 11 ins, 14 del, 41 sub ]
./exp/nnet2_online/decode_dev/wer_20_1.0:%WER 23.16 [ 66 / 285, 11 ins, 18 del, 37 sub ]
./exp/nnet2_online/decode_dev/wer_9_0.0:%WER 27.72 [ 79 / 285, 31 ins, 4 del, 44 sub ]
./exp/nnet2_online/decode_dev/wer_9_0.5:%WER 26.32 [ 75 / 285, 26 ins, 4 del, 45 sub ]
./exp/nnet2_online/decode_dev/wer_9_1.0:%WER 24.56 [ 70 / 285, 22 ins, 4 del, 44 sub ]
